;;;;;;;
FECHA;Carapungo;CENTRO;COTOCOLLAO;SANGOLQUI;TUMBACO;;
5/1/2025;0,679;0,616;0,143;0,13;0,438;;
5/1/2025;0,601;0,594;0,123;0,1;0,424;;
5/1/2025;0,647;0,583;0,151;0,086;0,418;;
5/1/2025;0,684;0,635;0,164;0,074;0,415;;
5/1/2025;0,756;0,609;0,275;0,116;0,412;;
5/1/2025;0,759;0,676;0,34;0,118;0,477;;
5/1/2025;0,873;0,819;0,381;0,091;0,475;;
5/1/2025;0,797;0,813;0,553;0,095;0,461;;
5/1/2025;0,865;0,68;0,427;0,091;0,373;;
5/1/2025;0,828;0,588;0,494;0,087;0,329;;
5/1/2025;0,808;0,591;0,269;0,053;0,327;;
6/1/2025;0,683;0,528;0,143;0,053;0,321;;
6/1/2025;0,681;0,521;0,164;0;0,328;;
6/1/2025;0,646;0,49;0,165;0,054;0,309;;
6/1/2025;0,642;0,564;0,21;0,028;0,327;;
6/1/2025;0,652;0,569;0,285;0,029;0,332;;
6/1/2025;0,658;0,874;0,555;0,053;0,385;;
6/1/2025;1,727;1,734;1,505;0,165;0,654;;
6/1/2025;2,301;2,385;2,354;0,611;1,119;;
6/1/2025;1,781;1,982;1,406;0,508;0,999;;
6/1/2025;1,384;1,64;0,592;0,33;0,745;;
6/1/2025;0,846;0,883;0,362;0,271;0,656;;
6/1/2025;0,76;0,674;0,219;0,125;0,478;;
6/1/2025;0,743;0,634;0,265;0,1;0,488;;
6/1/2025;0,703;0,716;0,225;0,122;0,606;;
6/1/2025;0,718;0,683;0,241;0,082;0,482;;
6/1/2025;0,726;0,74;0,192;0,094;0,517;;
6/1/2025;0,689;0,662;0,188;0,098;0,723;;
6/1/2025;0,705;0,725;0,223;0,138;0,954;;
6/1/2025;0,951;1,199;0,446;0,298;0,615;;
6/1/2025;0,947;1,22;1,04;0,424;0,556;;
6/1/2025;1,19;1,479;0,598;0,152;0,504;;
6/1/2025;1,199;0,998;0,537;0,149;0,418;;
6/1/2025;0,909;0,741;0,454;0,104;0,423;;
6/1/2025;0,86;0,767;0,401;0,105;0,356;;
7/1/2025;0,677;0,604;0,351;0,053;0,389;;
7/1/2025;0;0,619;0;0,044;0;;
7/1/2025;0,665;0,514;0,202;0,034;0,432;;
7/1/2025;0,635;0,539;0,268;0,02;0,465;;
7/1/2025;0,664;0,603;0,288;0,017;0,46;;
7/1/2025;0,903;1,083;0,624;0,087;0,57;;
7/1/2025;1,34;1,568;1,253;0,349;1,384;;
7/1/2025;2,006;2,201;1,128;0,652;1,536;;
7/1/2025;2,071;1,802;1,055;0,518;1,032;;
7/1/2025;1,815;1,367;0,679;0,311;0,701;;
7/1/2025;1,026;1,133;0,272;0,234;0,716;;
7/1/2025;0,788;0,873;0,221;0,217;0,525;;
7/1/2025;0,755;0,776;0,202;0,159;0,507;;
7/1/2025;0,79;0,784;0,163;0,164;0,521;;
7/1/2025;0,773;0,83;0,143;0,294;0,666;;
7/1/2025;0,965;0,826;0,194;0;0,596;;
7/1/2025;1,118;1,052;0,223;0,614;0,623;;
7/1/2025;1,243;1,15;0,241;0,579;0,624;;
7/1/2025;1,13;1,022;0,314;0,574;0,951;;
7/1/2025;1,177;1,132;0,348;0,492;1,343;;
7/1/2025;1,455;1,308;0,456;0,495;1,005;;
7/1/2025;1,068;1,335;0,508;0,41;0,885;;
7/1/2025;0,885;0,921;0,191;0,26;0,755;;
7/1/2025;0,798;0,763;0,223;0,183;0,685;;
8/1/2025;0,731;0,684;0,187;0,137;0,701;;
8/1/2025;0,67;0,639;0,127;0;0,641;;
8/1/2025;0,679;0,621;0,092;0,052;0,615;;
8/1/2025;0,669;0,616;0,088;0,066;0,597;;
8/1/2025;0,651;0,588;0,067;0,078;0,535;;
8/1/2025;0,692;0,657;0,229;0,066;0,535;;
8/1/2025;1,294;1,037;0,906;0,276;1,262;;
8/1/2025;0;1,532;1,724;0,754;1,807;;
8/1/2025;2,043;1,201;1,244;0,812;1,477;;
8/1/2025;1,47;1,131;1,115;0,596;1,075;;
8/1/2025;1,319;0,92;1,032;0,414;0,967;;
8/1/2025;1,426;1,079;0;0,273;0,811;;
8/1/2025;1,242;1,094;0;0,155;0,74;;
8/1/2025;0,858;1,015;0,057;0,108;0,58;;
8/1/2025;0;0,872;0;0,108;0,601;;
8/1/2025;0;0,876;-0,003;0,083;0,651;;
8/1/2025;0;0,816;0,015;0,184;0,622;;
8/1/2025;0;1,037;0,065;0,348;0,66;;
8/1/2025;0;0,992;0,189;0,5;0,777;;
8/1/2025;0;0,921;0,306;0,215;0,713;;
8/1/2025;0;0,887;0,175;0,134;0,67;;
8/1/2025;0;0,928;0,097;0,119;0,549;;
8/1/2025;0;0,846;0,007;0,081;0,491;;
8/1/2025;0;0,705;-0,037;0,038;0,461;;
9/1/2025;0;0,633;-0,034;0,04;0,477;;
9/1/2025;0;0,619;0;0,029;0;;
9/1/2025;0;0,614;-0,07;0,034;0,46;;
9/1/2025;0;0,6;-0,075;0,012;0,486;;
9/1/2025;0;0,727;-0,028;0,037;0,554;;
9/1/2025;0;0,884;0,151;0,116;0,644;;
9/1/2025;0;1,774;1,722;0,502;1,508;;
9/1/2025;0;1,985;2,061;0,878;1,869;;
9/1/2025;0;1,501;1,257;0,521;0,845;;
9/1/2025;0;1,109;0,734;0,23;0,761;;
9/1/2025;0;0,993;0,337;0,243;0,595;;
9/1/2025;0;0,83;0,073;0,138;0,56;;
9/1/2025;0;0,855;-0,031;0,126;0,606;;
9/1/2025;0;0,794;-0,021;0,127;0,545;;
9/1/2025;0;0,707;-0,004;0,113;0,548;;
9/1/2025;0;0,869;0,034;0,078;0,544;;
9/1/2025;0;0,955;0,101;0,103;0,564;;
9/1/2025;0;1,044;0,102;0,146;0,823;;
9/1/2025;0;1,077;0,285;0,184;0,734;;
9/1/2025;0;0,963;0,298;0,189;0,758;;
9/1/2025;0;0,826;0,235;0,128;0,522;;
9/1/2025;0;0,87;0,256;0,129;0,504;;
9/1/2025;0;0,785;0,065;0,076;0,493;;
9/1/2025;0;0,706;0,014;0,039;0,426;;
10/1/2025;0;0,631;-0,013;0,023;0,438;;
10/1/2025;0;0,6;-0,085;0;0,42;;
10/1/2025;0;0,629;-0,093;0,011;0,413;;
10/1/2025;0;0,582;-0,04;0,008;0,435;;
10/1/2025;0;0,566;-0,039;-0,001;0,435;;
10/1/2025;0;0,768;0,166;0,049;0,614;;
10/1/2025;0;1,014;0,601;0,344;1,024;;
10/1/2025;0;1,529;1,182;0,552;1,86;;
10/1/2025;0;1,312;1,046;0,324;1,128;;
10/1/2025;0;0,984;0,923;0,264;0,881;;
